,temporal_var_species_GUT_GENOME002690,change_function_K03750,log_ratio_function_K00100,pca_component_2,log_ratio_function_K02424,change_function_K11184,change_species_GUT_GENOME091092,log_ratio_function_K02119,log_ratio_function_K00625,temporal_var_species_GUT_GENOME130358,log_ratio_function_K01356,temporal_var_species_Blautia sp. SC05B48,temporal_var_species_GUT_GENOME157380,change_function_K15256,log_ratio_species_GUT_GENOME108684,change_species_Blautia schinkii,temporal_var_function_K10725,change_function_K06987,stability_species_GUT_GENOME122482,change_function_K20488,pca_component_3,change_function_K16924,change_function_K20487,log_ratio_species_GUT_GENOME246461,log_ratio_function_K06864,change_function_K03484,stability_function_K01738,change_species_GUT_GENOME139147,log_ratio_function_K02316,log_ratio_function_K19137,change_species_GUT_GENOME234915,log_ratio_function_K04566,change_species_Fournierella massiliensis,pca_component_1,temporal_var_function_K00633,log_ratio_function_K03815,log_ratio_function_K05595,log_ratio_function_K03648,temporal_var_species_GUT_GENOME089306,change_function_K02588,pca_component_10,stability_function_K07466,pca_component_15,log_ratio_function_K17810,pca_component_13,log_ratio_species_Bacteroides sp. HF-162,change_species_GUT_GENOME189954,pca_component_9,pca_component_17,pca_component_4,pca_component_18,stability_species_GUT_GENOME048959,temporal_var_function_K17319,pca_component_7,pca_component_16,pca_component_11,temporal_var_function_K04755,log_ratio_function_K15552,pca_component_14,pca_component_8,pca_component_6,log_ratio_species_GUT_GENOME131087,change_function_K03271,change_species_GUT_GENOME250934,pca_component_12,pca_component_5,log_ratio_function_K07738,log_ratio_function_K04061,pca_component_19
1MNTW4J3YJY1-1,0.0,3.062745210824172,-0.18210241409551628,-0.8007644097733467,-0.23499015335212084,0.27698679252023695,3.9458418489294935,-0.056076335592936725,-0.005317037850595075,0.03435353485909635,-0.14200859103708255,0.3333510214983748,0.5047964468254378,1.4969106806199104,-0.17811308116578925,1.7946487085684915,0.0,4.086993520104457,0.047909032211492786,2.3548788750462215,0.44767395124894344,0.6807616608008562,2.226955120211919,-0.18403598577794122,-0.13090339946183316,1.632223026276538,0.719661135106767,2.6559022629004776,-0.1345840961389134,-0.03796574161321066,0.24205482017918456,-0.1602159473074455,3.1819758994210154,9.343883783593979,1.2437232549925112,-0.02719828054070182,-0.1384587683652764,-0.15236589603485173,0.0,3.2173430610248914,2.241417502403581,0.0,-0.049156227736721396,-0.25897086694415333,0.07055675440039215,-0.10602014601376053,2.1287325397260943,0.25710666284871114,-0.31868752753582485,-3.7017050461011802,0.41564143550199395,1.3062872949112183,0.8843739023219048,0.037469420417086736,-0.08056625662038468,-0.8440748309790099,0.0597324481063425,-0.1280674529795198,0.26048727798469407,0.051194814135772725,0.5514960383363314,-0.23834753692102187,2.7605424638177745,-0.9412934167041307,-0.3659662240133541,-1.5855540866523645,-0.008440440298486483,0.09167857235627339,0.2754361549701759
1XKEDEP8FN21-1,0.0,0.03030365859380879,-0.050520055858943494,0.4317001041512288,-0.07300546506429574,-2.8124711170244012,-1.5985912504834623,-0.04967202313862893,0.06098293019133891,0.0,0.3862424205781059,0.40430385338731567,0.0,-3.2738132078389413,0.24292766857578033,-1.8935795514065532,0.0,-1.7419036877600025,0.290114821012013,-4.226607147798621,-5.741321583977851,-2.1085743255221985,-4.384282435102394,0.030029644640463263,0.007582083880292769,-1.204982046649814,1.199647228207386,-3.7066346859813493,0.47187247605649113,0.12171382484194868,-0.5147151857534134,0.1462749212618125,-2.7712035215576893,-4.949020869384368,1.7212773529369698,0.0,0.2287268244305854,0.09651265221946728,0.0,-0.6445527004218867,-1.0653139264974432,0.0,-0.13674460244457975,0.28025734071822367,1.017802966645745,0.3321326968185173,-0.5147151857534134,0.7186975310362995,0.07739839080634986,-2.7859215844114416,0.0459312255745792,1.372470065464329,0.1643953554628133,0.07767129786990035,-0.29322623251028807,0.4379802513642936,0.0,0.15047988300979478,-0.11171963270105884,1.50474804606829,-1.2832504768591153,0.22944083489918723,-2.277380572602194,0.0,0.21034847866322037,-0.5649353690072985,-0.024579077025310498,0.14734439217692927,0.11423494496537669
1D9T9YWVD8V1-1,0.07843792569440848,0.37000181185224257,-0.03852850018757631,-0.9367578207252262,-0.007215079150813089,0.44284571446872256,-1.235673675203616,-0.0014646098393334868,0.024169613815640534,0.28937412801672574,-0.058480008311013625,0.27441729270310766,0.0,0.33498037708845807,-0.08627673533921865,0.41787989327996655,0.0,0.6377378690503352,0.0,0.26376898136321536,-0.43055796488491416,0.4546316184202457,-0.3660609044754324,0.0816846914168859,0.001064911244973804,-0.03060787012418409,0.15609842155703468,0.3044260631632252,0.0059826957987284485,-0.050989998179078115,0.0,-0.17732268224221343,0.066514302021913,3.462268529160303,0.05138362701935675,0.0,-0.02201337110467471,-0.008033526396906373,0.0,0.8775619711824891,-0.16112286696199854,0.0,0.01514152542901327,0.02118905327998891,0.03426300028858678,0.011713614369052465,-0.8551118114490635,1.2053958804818543,0.3396948336992539,0.760348814355345,0.36784108338134297,0.0,0.0014444689741416779,-0.4443258546449651,1.8609399982813417,0.6888963218399409,0.021354643229159954,-0.1123511052280995,-0.9401535190414997,-0.5623532241086905,-0.6887404165108011,0.041084689287426146,-0.22371789168863465,0.1205769271800996,-0.37049833464659654,0.5720891367098518,0.0355584708515767,0.09791648900278549,0.4379062540260111
18X6VX2JR991-1,0.0,1.280634411373054,-0.14539272580666143,-1.2856657850098958,-0.24670956075175707,0.3824859172588404,1.6259629761510546,-0.04718766371793025,-0.10732618404830403,0.20080621354200578,-0.2349399997951859,0.1767282838973317,0.0,1.7175617179647968,-0.24104779440115687,3.1845130903941943,0.0,2.403039534174061,0.0,2.1175938000500185,1.921884231202485,1.869478235788133,2.427764675487465,-0.16640276101416207,-0.09524609230474966,0.771334892694794,1.619227346679633,4.443850334904365,-0.11753168624112482,-0.12811455132527755,0.0,-0.21455359157675127,3.2807704402199,9.43658053917831,0.03246900838611427,0.0,-0.16374190786673812,-0.13458572591314794,0.0,2.0638505919887624,-1.6485655518298947,0.0,-0.33825360335964866,0.01348486869716968,0.02513317419423283,-0.2214907208114151,-0.30583711867056884,-1.8323518605055014,0.8334987287938007,-1.4946961420095497,-0.25540091147186256,1.7707872930739637,0.5627955702972731,0.8363018687240772,-0.12812374888873546,1.184486302732086,0.0,-0.08356923089427216,-0.07603834813238303,-0.2814086907692457,-0.16991941087365267,-0.3418879816733654,2.579359883639553,0.0,0.5185199824195057,-1.097830785159392,0.008637664278534045,-0.15991526431170267,-0.33212739250320666
19F6A24946F1-1,0.0,0.8722324731584301,-0.06287880025212993,-0.7134028831604949,-0.03188982980218552,-0.18583647582917884,1.0955901604901488,0.009320937206848304,-0.006527132026667976,0.0012168541796895296,-0.006745378971784136,0.09772641127720723,0.0,0.34340019169023606,-0.049869053626182595,0.38957632465351466,0.0,2.1370475005695706,0.1923221719791126,1.1200461981771639,-0.8346719961284566,0.759345219726212,0.36453757681242394,0.0,0.06666182795444947,0.21081277205810522,0.2813023700315114,0.42739505976610026,-0.04997462321118376,-0.06287880025212993,0.0,-0.046081308020541674,0.42692967997562015,4.135375751591252,0.09329814302533204,0.0,0.021011656553768656,-0.013490201307930848,0.0,1.66033443952543,-0.6969396478155332,0.0,-0.1411646982093748,0.07138256633180348,-0.6363826255140774,-0.021414761172872162,0.0,-0.13072327800558808,-1.4966151447778264,0.35210449527455484,-0.7648932268718346,0.0,0.015604832630986214,-0.04740988415670195,0.4274946289115809,0.6390880229936857,0.0,0.05399270413661347,0.9002122627459265,0.00832305500044332,-0.4847961918027806,0.0014357207411643611,0.5365866900620002,0.0,0.7538625743579663,0.7383565059017105,-0.0026359170738715614,-0.08704793044942179,0.24718911121990864
1CYXH9TKXKJ1-1,0.20409451800626177,0.061036070019135025,0.0591031256439249,-0.7826469112255188,0.09159346602026198,-0.13412851990081265,0.1853619200149037,0.04670422310770365,0.018501954267416416,0.0694523714619369,-0.0016508255003684599,0.1407006813211238,0.0,-1.004723690658924,-0.06743560936930688,-0.2835156703686046,0.0,-0.053300565107369025,0.0,-0.1160242472873545,-0.3865409129237461,-0.04648951381662769,-0.3555623570908786,0.05699966676377401,0.06433452217508974,-0.21199232083102793,0.07968607029507702,0.39870395989662377,-0.007651023906832659,-0.04439615381459692,0.0,-0.040007425274578914,-1.1498961408401094,1.9346325594232172,0.02142614977871559,-0.026156503319721247,0.1222339545709714,0.011789282121522554,0.0,-0.4945661512977324,0.22889472494625765,0.0,-1.6745521436357724,-0.20198614061751904,-0.5336868730884261,0.2992681874685015,-1.1271108165502977,2.210578732542439,0.4551677931172859,1.4808511658799037,-0.2846949352087416,0.5885113559954416,0.09644896678096178,-1.1041234997897738,-0.4189178931634295,-1.0057792722120227,0.0012816588779389713,-0.05385642898588198,0.07200093184655092,-0.4139151829394213,-0.9028103815821807,-0.03256333454212828,-0.4966155090248279,-0.7428507681520422,0.5754168037601083,-0.30189496943977295,0.0477985782534183,0.0029214182293888892,-0.29021178255631064
1FH9YAVVTNM1-1,0.5297899735910213,-0.1773600238462052,-0.04060819022846417,-0.6347528356995079,0.0555069363850734,0.23046401970590402,-0.06338784681249088,0.0640675121427654,-0.004487921563415071,0.23099860787548376,-0.012767153519006254,0.08375513109090323,0.0,0.38673993078753455,0.12112246853866417,-0.6782219459642871,0.0,-0.7204753169184439,0.0,-0.251703882576253,-0.12331556857872719,0.0753952204815107,-0.31734175999396186,0.032136478147567815,0.05802027017705786,-1.0126960108381216,0.6101092064978921,-0.9070629555123109,0.024974941257054333,-0.022685102738937236,-0.24213716501632732,-0.062135717297665725,-0.5335427191173601,2.0766433792450583,0.056721883097990596,0.032136478147567815,0.007538577525773676,0.006694792567946786,0.0,0.21928160148256737,-0.10885757411648549,0.0,-0.21926982300182107,-0.05892902672764513,2.1366825190977865,-0.0359903453647031,1.8978869070094149,-0.816465602702166,-0.31304391060309605,1.1592584494722127,-0.4407109959880529,0.8032833473428092,0.053961067092374165,-0.40120108723728587,0.2935023385301183,-1.0447070781809091,0.08996509265539576,-0.09460007350742566,0.07161899175764432,-0.6388743155410358,0.8958692043924108,0.0005284764717681747,0.5490877957497045,-1.4871824915579648,-1.1460849253110585,1.1379905818948854,0.09829218755910038,-0.059750802933569026,-0.5108509059703314
1CAMFVK6MDK1-1,0.5471435996295527,-2.3261183147638445,0.08756863327447277,6.372299943148542,0.039795734370185076,-3.0606497583873473,0.3439121255960238,0.048259304529608166,0.13232425945583348,0.04284849191565639,0.11214065354904124,0.6250089981493977,1.99181608142584,-0.9807598206990598,-0.029008089339287984,1.1465556304026752,0.21113831715210832,0.04111564908613907,3.183252133344217,-1.2786288855901802,3.221786931806918,-0.9051224675866472,-0.41525534054995283,0.19489717689468414,0.1005139015891866,-0.730429840907199,0.6780697970197576,-3.71184992476371,0.05604789088563991,0.02341143808951102,-1.058992613261493,-0.07473506110430694,-0.4097259663150936,-2.634611838810981,0.5923860090043688,0.041495403259214955,0.04633540069773738,0.04510671834290954,0.6097285901107374,-0.2348802135284238,0.5782926059502175,0.31113857155922453,0.06870341479993326,0.06244172552867286,0.1788541995924106,0.060355004026016214,-1.2911181055265093,0.4989901977169609,0.0945238430015746,-2.166514997945052,-0.31965220621511814,2.7768121716602234,0.11464365694874774,0.4749651995234921,-0.10762526863962553,0.1755173385864253,0.21113831715210832,0.10601406822321946,-0.2514485367415206,-0.5045311269988487,-1.651198760714477,0.09580523829098458,-3.2527644573989374,-3.095342527901174,0.37188241377856146,3.315675225821676,0.1397473494706241,0.06883481807283442,-0.04722420614447004
1MEJHMAKRAR1-2,0.0,-0.45739953017324453,0.024668242266330204,-0.6323827202543468,0.06451292993051257,-0.22484242771352392,-0.7115064964312161,-0.0004840888604736491,0.036986028389678134,0.8342117791028867,0.03283679154688868,0.5226800361658615,0.0,-0.7331826908655366,0.18196609375605666,-0.8874021152134262,0.0,-0.6331187479408076,0.0,-0.7948929561970477,-2.244942636089215,-0.7800951750985519,-0.6099753772175873,0.07917440420494926,0.029254687174514873,-0.6872339758372128,0.21515434159450209,-0.9913665375634277,0.029719896005947842,0.09014465575439037,0.0,0.1437248211220046,-0.24718669610168043,-0.07766342295654417,0.5772953298814258,-0.007697910611384749,0.009656675092244755,0.012923405525638023,0.0,-0.046466488772408,1.408468177192398,0.0,1.190932331023233,0.04731263706800199,-0.9041316020315177,0.07397115143556243,-0.10533901189029216,0.3431141750733483,0.6957713307198313,0.2990836112002447,-0.7897243902025175,0.513982409683388,0.13716986562222203,-0.1718541085173148,0.3338462312594148,0.3193903942774338,0.17820953311137316,0.07031995883712032,0.5642253783024727,0.9385316592980526,0.1342942809121633,0.05659182531921484,-0.395964768519125,0.5863080455224932,-0.4923994565240164,0.19743443018227602,0.021929901987853002,0.13631437718526654,-0.6531685077896646
19TDEMMXYF41-1,0.0,-2.729569548828314,0.030365082745005354,-3.3554641526918196,0.1749781475677612,-3.042352136805972,-4.189350921196702,0.3090667719488454,0.1643921042295447,2.1201464255337426,0.31886591899812455,0.6068825926609753,0.0,-0.4132038575702328,0.0840733830487302,-3.6197269478062033,0.0,-2.2177296270961335,0.34022673410342286,-2.2177296270961335,1.3710162841732845,-0.7047329619138658,-0.4621474821331315,0.0,0.1071372419022361,-2.729569548828314,2.6070354670550753,-3.113045535396509,0.2503724742936353,0.052357309150195236,0.0,0.06970223895330292,0.0,-5.774595797168356,0.7427314396393176,0.052357309150195236,0.11991146715820687,0.2924902065573643,0.0,-1.723637362833978,-1.263654501566072,0.0,0.1484333929969747,0.030365082745005354,-0.4412516434723573,0.40280789464129474,0.0,1.3170399610635428,0.07036156653542797,-2.159697688426496,0.07669331810560177,0.0,3.01194828195734,-0.6984206778922294,-0.19847613716604318,0.08759287996507412,0.7427314396393176,0.030365082745005354,0.19495313110873874,-0.9819878478688817,3.932838821294408,0.052357309150195236,-2.418861494629521,-1.1140303589580132,-0.25968964687086665,1.5847122905787956,0.11693430991330482,0.09637112017267219,0.05629735274654497
