,log_ratio_function_K02424,log_ratio_function_K00100,change_species_GUT_GENOME139147,change_function_K03750,change_function_K06987,change_function_K20487,stability_species_GUT_GENOME122482,temporal_var_function_K00633,stability_function_K01738,log_ratio_function_K06864,log_ratio_function_K19137,log_ratio_function_K17810,log_ratio_function_K01356,log_ratio_function_K04061,log_ratio_species_GUT_GENOME108684,change_species_Blautia schinkii,temporal_var_species_GUT_GENOME089306,change_function_K11184,change_function_K03484,temporal_var_species_GUT_GENOME002690,temporal_var_species_GUT_GENOME157380,temporal_var_function_K10725,log_ratio_function_K04566,temporal_var_function_K17319,change_function_K03271,log_ratio_function_K02119,temporal_var_species_Blautia sp. SC05B48,change_function_K16924,log_ratio_function_K03648,change_function_K02588,log_ratio_function_K03815,stability_function_K07466,change_species_Fournierella massiliensis,log_ratio_species_GUT_GENOME131087,log_ratio_species_GUT_GENOME246461,change_species_GUT_GENOME091092,change_function_K15256,log_ratio_function_K15552,stability_species_GUT_GENOME048959,change_function_K20488,temporal_var_species_GUT_GENOME130358,temporal_var_function_K04755,change_species_GUT_GENOME234915,change_species_GUT_GENOME189954,log_ratio_function_K00625,log_ratio_function_K07738,change_species_GUT_GENOME250934,log_ratio_species_Bacteroides sp. HF-162,log_ratio_function_K05595,log_ratio_function_K02316
1MNTW4J3YJY1-1,-0.23499015335212084,-0.18210241409551628,2.6559022629004776,3.062745210824172,4.086993520104457,2.226955120211919,0.047909032211492786,1.2437232549925112,0.719661135106767,-0.13090339946183316,-0.03796574161321066,-0.25897086694415333,-0.14200859103708255,0.09167857235627339,-0.17811308116578925,1.7946487085684915,0.0,0.27698679252023695,1.632223026276538,0.0,0.5047964468254378,0.0,-0.1602159473074455,0.8843739023219048,2.7605424638177745,-0.056076335592936725,0.3333510214983748,0.6807616608008562,-0.15236589603485173,3.2173430610248914,-0.02719828054070182,0.0,3.1819758994210154,-0.23834753692102187,-0.18403598577794122,3.9458418489294935,1.4969106806199104,-0.1280674529795198,1.3062872949112183,2.3548788750462215,0.03435353485909635,0.0597324481063425,0.24205482017918456,2.1287325397260943,-0.005317037850595075,-0.008440440298486483,-0.9412934167041307,-0.10602014601376053,-0.1384587683652764,-0.1345840961389134
1XKEDEP8FN21-1,-0.07300546506429574,-0.050520055858943494,-3.7066346859813493,0.03030365859380879,-1.7419036877600025,-4.384282435102394,0.290114821012013,1.7212773529369698,1.199647228207386,0.007582083880292769,0.12171382484194868,0.28025734071822367,0.3862424205781059,0.14734439217692927,0.24292766857578033,-1.8935795514065532,0.0,-2.8124711170244012,-1.204982046649814,0.0,0.0,0.0,0.1462749212618125,0.1643953554628133,-2.277380572602194,-0.04967202313862893,0.40430385338731567,-2.1085743255221985,0.09651265221946728,-0.6445527004218867,0.0,0.0,-2.7712035215576893,0.22944083489918723,0.030029644640463263,-1.5985912504834623,-3.2738132078389413,0.15047988300979478,1.372470065464329,-4.226607147798621,0.0,0.0,-0.5147151857534134,-0.5147151857534134,0.06098293019133891,-0.024579077025310498,0.0,0.3321326968185173,0.2287268244305854,0.47187247605649113
1D9T9YWVD8V1-1,-0.007215079150813089,-0.03852850018757631,0.3044260631632252,0.37000181185224257,0.6377378690503352,-0.3660609044754324,0.0,0.05138362701935675,0.15609842155703468,0.001064911244973804,-0.050989998179078115,0.02118905327998891,-0.058480008311013625,0.09791648900278549,-0.08627673533921865,0.41787989327996655,0.0,0.44284571446872256,-0.03060787012418409,0.07843792569440848,0.0,0.0,-0.17732268224221343,0.0014444689741416779,-0.22371789168863465,-0.0014646098393334868,0.27441729270310766,0.4546316184202457,-0.008033526396906373,0.8775619711824891,0.0,0.0,0.066514302021913,0.041084689287426146,0.0816846914168859,-1.235673675203616,0.33498037708845807,-0.1123511052280995,0.0,0.26376898136321536,0.28937412801672574,0.021354643229159954,0.0,-0.8551118114490635,0.024169613815640534,0.0355584708515767,0.1205769271800996,0.011713614369052465,-0.02201337110467471,0.0059826957987284485
18X6VX2JR991-1,-0.24670956075175707,-0.14539272580666143,4.443850334904365,1.280634411373054,2.403039534174061,2.427764675487465,0.0,0.03246900838611427,1.619227346679633,-0.09524609230474966,-0.12811455132527755,0.01348486869716968,-0.2349399997951859,-0.15991526431170267,-0.24104779440115687,3.1845130903941943,0.0,0.3824859172588404,0.771334892694794,0.0,0.0,0.0,-0.21455359157675127,0.5627955702972731,2.579359883639553,-0.04718766371793025,0.1767282838973317,1.869478235788133,-0.13458572591314794,2.0638505919887624,0.0,0.0,3.2807704402199,-0.3418879816733654,-0.16640276101416207,1.6259629761510546,1.7175617179647968,-0.08356923089427216,1.7707872930739637,2.1175938000500185,0.20080621354200578,0.0,0.0,-0.30583711867056884,-0.10732618404830403,0.008637664278534045,0.0,-0.2214907208114151,-0.16374190786673812,-0.11753168624112482
19F6A24946F1-1,-0.03188982980218552,-0.06287880025212993,0.42739505976610026,0.8722324731584301,2.1370475005695706,0.36453757681242394,0.1923221719791126,0.09329814302533204,0.2813023700315114,0.06666182795444947,-0.06287880025212993,0.07138256633180348,-0.006745378971784136,-0.08704793044942179,-0.049869053626182595,0.38957632465351466,0.0,-0.18583647582917884,0.21081277205810522,0.0,0.0,0.0,-0.046081308020541674,0.015604832630986214,0.5365866900620002,0.009320937206848304,0.09772641127720723,0.759345219726212,-0.013490201307930848,1.66033443952543,0.0,0.0,0.42692967997562015,0.0014357207411643611,0.0,1.0955901604901488,0.34340019169023606,0.05399270413661347,0.0,1.1200461981771639,0.0012168541796895296,0.0,0.0,0.0,-0.006527132026667976,-0.0026359170738715614,0.0,-0.021414761172872162,0.021011656553768656,-0.04997462321118376
1CYXH9TKXKJ1-1,0.09159346602026198,0.0591031256439249,0.39870395989662377,0.061036070019135025,-0.053300565107369025,-0.3555623570908786,0.0,0.02142614977871559,0.07968607029507702,0.06433452217508974,-0.04439615381459692,-0.20198614061751904,-0.0016508255003684599,0.0029214182293888892,-0.06743560936930688,-0.2835156703686046,0.0,-0.13412851990081265,-0.21199232083102793,0.20409451800626177,0.0,0.0,-0.040007425274578914,0.09644896678096178,-0.4966155090248279,0.04670422310770365,0.1407006813211238,-0.04648951381662769,0.011789282121522554,-0.4945661512977324,-0.026156503319721247,0.0,-1.1498961408401094,-0.03256333454212828,0.05699966676377401,0.1853619200149037,-1.004723690658924,-0.05385642898588198,0.5885113559954416,-0.1160242472873545,0.0694523714619369,0.0012816588779389713,0.0,-1.1271108165502977,0.018501954267416416,0.0477985782534183,-0.7428507681520422,0.2992681874685015,0.1222339545709714,-0.007651023906832659
1FH9YAVVTNM1-1,0.0555069363850734,-0.04060819022846417,-0.9070629555123109,-0.1773600238462052,-0.7204753169184439,-0.31734175999396186,0.0,0.056721883097990596,0.6101092064978921,0.05802027017705786,-0.022685102738937236,-0.05892902672764513,-0.012767153519006254,-0.059750802933569026,0.12112246853866417,-0.6782219459642871,0.0,0.23046401970590402,-1.0126960108381216,0.5297899735910213,0.0,0.0,-0.062135717297665725,0.053961067092374165,0.5490877957497045,0.0640675121427654,0.08375513109090323,0.0753952204815107,0.006694792567946786,0.21928160148256737,0.032136478147567815,0.0,-0.5335427191173601,0.0005284764717681747,0.032136478147567815,-0.06338784681249088,0.38673993078753455,-0.09460007350742566,0.8032833473428092,-0.251703882576253,0.23099860787548376,0.08996509265539576,-0.24213716501632732,1.8978869070094149,-0.004487921563415071,0.09829218755910038,-1.4871824915579648,-0.0359903453647031,0.007538577525773676,0.024974941257054333
1CAMFVK6MDK1-1,0.039795734370185076,0.08756863327447277,-3.71184992476371,-2.3261183147638445,0.04111564908613907,-0.41525534054995283,3.183252133344217,0.5923860090043688,0.6780697970197576,0.1005139015891866,0.02341143808951102,0.06244172552867286,0.11214065354904124,0.06883481807283442,-0.029008089339287984,1.1465556304026752,0.6097285901107374,-3.0606497583873473,-0.730429840907199,0.5471435996295527,1.99181608142584,0.21113831715210832,-0.07473506110430694,0.11464365694874774,-3.2527644573989374,0.048259304529608166,0.6250089981493977,-0.9051224675866472,0.04510671834290954,-0.2348802135284238,0.041495403259214955,0.31113857155922453,-0.4097259663150936,0.09580523829098458,0.19489717689468414,0.3439121255960238,-0.9807598206990598,0.10601406822321946,2.7768121716602234,-1.2786288855901802,0.04284849191565639,0.21113831715210832,-1.058992613261493,-1.2911181055265093,0.13232425945583348,0.1397473494706241,-3.095342527901174,0.060355004026016214,0.04633540069773738,0.05604789088563991
1MEJHMAKRAR1-2,0.06451292993051257,0.024668242266330204,-0.9913665375634277,-0.45739953017324453,-0.6331187479408076,-0.6099753772175873,0.0,0.5772953298814258,0.21515434159450209,0.029254687174514873,0.09014465575439037,0.04731263706800199,0.03283679154688868,0.13631437718526654,0.18196609375605666,-0.8874021152134262,0.0,-0.22484242771352392,-0.6872339758372128,0.0,0.0,0.0,0.1437248211220046,0.13716986562222203,-0.395964768519125,-0.0004840888604736491,0.5226800361658615,-0.7800951750985519,0.012923405525638023,-0.046466488772408,-0.007697910611384749,0.0,-0.24718669610168043,0.05659182531921484,0.07917440420494926,-0.7115064964312161,-0.7331826908655366,0.07031995883712032,0.513982409683388,-0.7948929561970477,0.8342117791028867,0.17820953311137316,0.0,-0.10533901189029216,0.036986028389678134,0.021929901987853002,0.5863080455224932,0.07397115143556243,0.009656675092244755,0.029719896005947842
19TDEMMXYF41-1,0.1749781475677612,0.030365082745005354,-3.113045535396509,-2.729569548828314,-2.2177296270961335,-0.4621474821331315,0.34022673410342286,0.7427314396393176,2.6070354670550753,0.1071372419022361,0.052357309150195236,0.030365082745005354,0.31886591899812455,0.09637112017267219,0.0840733830487302,-3.6197269478062033,0.0,-3.042352136805972,-2.729569548828314,0.0,0.0,0.0,0.06970223895330292,3.01194828195734,-2.418861494629521,0.3090667719488454,0.6068825926609753,-0.7047329619138658,0.2924902065573643,-1.723637362833978,0.052357309150195236,0.0,0.0,0.052357309150195236,0.0,-4.189350921196702,-0.4132038575702328,0.030365082745005354,0.0,-2.2177296270961335,2.1201464255337426,0.7427314396393176,0.0,0.0,0.1643921042295447,0.11693430991330482,-1.1140303589580132,0.40280789464129474,0.11991146715820687,0.2503724742936353
