feature,importance
function_K03767,0.09392348162559855
function_K15551,0.07745508231742651
function_K03379,0.07416893148196163
function_K07283,0.0665368169077767
function_K13041,0.05273239756116041
function_K18012,0.044544435867599076
function_K16165,0.04404805707939508
function_K00683,0.039167456039549214
function_K03309,0.036089118732142246
function_K22441,0.0357509374642039
function_K11782,0.03216534340720106
function_K18285,0.02961911445880399
function_K22394,0.02817173860361834
function_K03194,0.027977013755788333
function_K06980,0.022206802001431658
function_K03746,0.021718001237066225
function_K11961,0.02127380783337366
function_K17050,0.018488046538620878
function_K22457,0.017220521354668485
function_K09158,0.01690586863128034
function_K21401,0.016383857694725733
function_K00105,0.016338532020094748
function_K14267,0.01626694702366214
function_K03382,0.015583830363265952
function_K02885,0.014033510825166297
function_K00298,0.013095562643941707
function_K18351,0.012602354114820094
function_K16294,0.011743256898809533
function_K04091,0.010195344887974842
function_K07119,0.00991305021324782
function_K11942,0.008734098851775967
function_K06857,0.007440388967586104
function_K22073,0.007097150331335195
function_K12139,0.006578307670638722
function_K18907,0.006450293651492094
function_K17835,0.006077552149343487
function_K03825,0.005980489820439465
function_K00311,0.004812235865543823
function_K02245,0.004505839613583708
function_K17239,0.0021169683012562763
function_K07050,0.0018339614294941315
function_K20438,0.0017351035506772627
function_K19803,0.0003183902124586121
function_K06884,0.0
function_K20792,0.0
function_K07226,0.0
function_K09978,0.0
function_K00529,0.0
function_K16171,0.0
function_K00906,0.0
