SampleID,Plate,CollectionDate
Sample_BDRJDQ,INF_P8,12/9/14
Sample_ESYUZA,INF_P8,1/5/15
Sample_CNKYCP,INF_P8,6/17/15
Sample_IOOXEU,INF_P8,6/19/15
Sample_KELXIR,INF_P8,7/1/15
Sample_ZGRIXA,INF_P8,7/21/15
Sample_FMGERA,HMP_P1,7/5/16
Sample_KQPPFF,HMP_P1,7/8/16
Sample_IEWQTV,INF_P8,11/19/13
Sample_KOTBLA,INF_P8,11/26/13
Sample_KLCVNQ,INF_P8,9/12/14
Sample_AFQXID,INF_P8,9/15/14
Sample_GCZTEE,INF_P8,7/24/15
Sample_NBGONR,INF_P8,7/29/15
Sample_KGPXMX,INF_P8,8/11/15
Sample_OAFDNI,INF_P8,8/21/15
Sample_KDLIQA,INF_P8,9/8/15
Sample_DQXTDJ,INF_P8,11/25/14
Sample_ASZBEE,INF_P8,12/2/14
Sample_TXIKTD,INF_P8,12/7/14
Sample_CJCGQD,INF_P8,12/16/14
Sample_YRAXDG,INF_P8,12/22/14
Sample_QADXVO,INF_P8,1/12/15
Sample_EQLMKU,INF_P8,1/19/15
Sample_FTEYYU,INF_P8,1/26/15
Sample_AFZISD,INF_P8,2/2/15
Sample_ZFRMQK,INF_P8,2/5/15
Sample_NDIUSO,INF_P8,2/10/15
Sample_NMNENP,INF_P8,2/23/15
Sample_KRVFJG,INF_P8,3/31/15
Sample_DYIXXI,INF_P8,4/7/15
Sample_BVBGIY,INF_P8,4/14/15
Sample_XYNIWZ,INF_P8,4/21/15
Sample_IYKAUD,INF_P8,4/24/15
Sample_FJFCIS,INF_P8,5/1/15
Sample_IWENRO,INF_P8,5/13/15
Sample_CBBZIM,INF_P8,6/5/15
Sample_DJMPFH,INF_P8,10/13/15
Sample_ERHZHH,INF_P8,10/20/15
Sample_KLPYHR,INF_P8,10/27/15
Sample_IOEJEN,INF_P8,11/3/15
Sample_ZZQHXG,INF_P8,11/6/15
Sample_XTCRPE,INF_P8,11/13/15
Sample_GAVNCK,INF_P8,11/24/15
Sample_KFWJAX,geomean,6/5/13
Sample_IZDIUS,INF_P8,8/7/13
Sample_NCYETJ,INF_P8,10/3/13
Sample_UOXGEB,INF_P8,11/4/13
Sample_OYDUOS,INF_P8,11/11/13
Sample_TYIAOP,INF_P8,12/18/13
Sample_VRLRIP,INF_P8,12/15/15
Sample_CENDNH,INF_P8,12/21/15
Sample_JIFCRE,HMP_P1,1/5/16
Sample_WQMQCF,INF_P8,1/12/16
Sample_VEODYB,INF_P8,1/15/16
Sample_EIKGAP,INF_P8,1/19/16
Sample_ZAUBSN,geomean,1/26/16
Sample_CCWGPZ,geomean,2/24/16
Sample_IUQKNV,INF_P8,3/3/16
Sample_BJHGGG,geomean,4/21/16
Sample_CKRBET,geomean,4/28/16
Sample_JIKYLM,HMP_P1,5/9/16
Sample_KFXIVW,HMP_P1,5/26/16
Sample_UMRFTO,HMP_P1,6/9/16
Sample_UZKJRT,HMP_P1,6/14/16
Sample_DRBHGE,HMP_P1,6/20/16
Sample_HBAEDK,HMP_P1,8/4/16
Sample_TSNFLI,HMP_P1,8/22/16
Sample_MYXZUF,HMP_P1,10/4/16
Sample_UHPADE,HMP_P1,10/20/16
Sample_VYAQOC,HMP_P1,11/22/16
Sample_NRWNCC,HMP_P1,12/5/16
Sample_HPSPAK,HMP_P1,12/19/16
Sample_VKKLJG,INF_P8,1/8/14
Sample_SXKNLZ,INF_P8,8/27/14
Sample_STXRJB,INF_P8,9/27/14
Sample_YNGTUD,INF_P8,11/3/14
Sample_TFVBLH,INF_P8,11/18/14
Sample_XJOUEE,INF_P8,3/18/15
Sample_GXPNON,geomean,6/13/13
Sample_WJDKKS,INF_P1,6/14/13
Sample_RAZQOY,INF_P1,6/17/13
Sample_UUAHES,INF_P1,1/23/14
Sample_CYTYQP,INF_P1,5/1/14
Sample_WTHXQS,INF_P1,10/22/14
Sample_WNQSYW,INF_P1,1/12/15
Sample_LMMTCY,INF_P1,10/6/15
Sample_JELJON,INF_P1,2/20/15
Sample_IEKLUO,HMP_P1,10/21/16
Sample_WLCFJC,INF_P1,5/31/13
Sample_VHANBA,INF_P1,12/3/14
Sample_HKUBJO,INF_P1,12/5/14
Sample_FKSVEF,HMP_P1,8/1/13
Sample_MBZSNE,HMP_P1,10/14/13
Sample_OUEDSP,geomean,10/16/13
Sample_LHCGVL,INF_P1,1/15/14
Sample_EKYYYM,INF_P1,4/16/14
Sample_EXGNSC,INF_P1,7/10/14
Sample_JSOUGI,INF_P1,1/22/15
Sample_NPJJPC,geomean,4/28/15
Sample_HOSWRI,HMP_P1,6/27/16
Sample_XDFKEX,INF_P1,11/14/14
Sample_CEZQJD,INF_P1,11/26/14
Sample_QYEGLD,INF_P1,12/12/14
Sample_YHXUTA,INF_P1,2/19/16
Sample_TWVMFZ,INF_P1,3/4/16
Sample_NYAPZY,HMP_P1,11/30/16
Sample_MJUMFL,INF_P1,9/30/14
Sample_PGFAZH,INF_P1,10/2/14
Sample_SPUYGF,INF_P1,10/6/14
Sample_RRFMTW,INF_P1,10/9/14
Sample_PBFJJA,INF_P1,10/23/14
Sample_BJCIKW,INF_P1,5/5/15
Sample_QPKASE,INF_P1,5/7/15
Sample_PEDBLL,INF_P1,5/11/15
Sample_YZLEIX,INF_P1,5/26/15
Sample_TPMXTZ,INF_P1,10/15/15
Sample_QQFIKX,INF_P1,10/16/15
Sample_GCKHTD,INF_P1,10/19/15
Sample_DOAAMZ,INF_P1,10/23/15
Sample_EHQTPI,INF_P1,11/6/15
Sample_KJVXNT,HMP_P1,6/29/16
Sample_EYWXRI,HMP_P1,7/1/16
Sample_EYRVSK,HMP_P1,7/5/16
Sample_VYYKIF,HMP_P1,7/19/16
Sample_ABCKTJ,HMP_P1,8/2/16
Sample_KZUCGP,HMP_P1,12/2/16
Sample_QCTJEC,HMP_P1,12/6/16
Sample_FKQPQJ,HMP_P1,12/20/16
Sample_YSXWCX,HMP_P1,1/5/17
Sample_ROETZU,geomean,3/18/16
Sample_BXZMUB,HMP_P1,3/21/16
Sample_WPLJQK,HMP_P1,3/23/16
Sample_LDBIAS,HMP_P1,4/8/16
Sample_TPHVOJ,HMP_P1,4/22/16
Sample_WJLYRJ,INF_P2,10/29/13
Sample_ZBLCNT,INF_P2,1/22/14
Sample_AJDNJX,INF_P2,4/30/14
Sample_QYVTPD,INF_P2,7/16/14
Sample_JESADT,INF_P2,1/6/15
Sample_LLYUQO,INF_P2,4/22/15
